Earnings,NrComps,Prof,Unprof,Workers,FAssets,CAssets,FCAssets,Assets,Equity,Liab,LTLiab,STLiab,SUBLiab,MatExp,PersExp,Dep
0.067,18,16,2,0.129,0.432,0.262,0.694,0.697,0.363,0.295,0.019,0.276,0,0.514,0.209,0.076
1.978,154,101,53,2.556,10.391,13.019,23.41,24.236,10.993,12.734,3.518,9.203,0.013,13.796,6.025,1.56
-0.164,13,7,6,0.606,0.285,1.289,1.574,1.577,0.13,1.383,0.016,1.344,0.023,2.194,1.529,0.049
-1.162,52,33,19,2.666,9.622,10.447,20.069,20.116,11.056,8.122,0.831,7.289,0.002,16.477,5.775,0.74
0.762,149,100,49,2.64,9.911,10.475,20.386,20.658,6.271,13.925,7.212,6.542,0.171,18.608,5.588,1.23
-0.011,35,14,21,0.364,0.682,1.125,1.807,1.812,0.956,0.796,0.125,0.646,0.025,1.407,0.627,0.103
0.232,14,12,2,0.208,0.656,0.763,1.419,1.436,0.762,0.569,0.181,0.387,0.001,1.483,0.662,0.07
4.04,311,213,98,5.457,15.37,29.445,44.815,45.226,17.117,26.506,2.792,23.667,0.047,57.103,14.082,1.918
0.056,7,5,2,0.5,0.995,1.237,2.232,2.926,0.898,1.916,0.001,1.915,0,1.339,0.771,0.066
9.733,32,22,10,6.592,46.217,104.226,150.443,150.607,98.614,49.437,7.66,41.522,0.255,120.243,13.713,4.24
0.892,20,11,9,1.758,8.455,9.349,17.804,17.849,9.791,7.92,0.855,7.045,0.02,11.857,3.201,0.531
-0.607,28,12,16,0.719,1.442,4.81,6.252,6.303,1.847,4.044,1.464,2.527,0.053,7.834,1.567,0.337
-2.95,193,100,93,1.936,63.717,63.116,126.833,127.34,-1.562,109.782,20.917,88.661,0.204,196.453,9.719,3.365
0.935,182,110,72,5.244,32.114,30.637,62.751,63.561,19.79,42.623,12.924,29.173,0.526,44.046,12.545,2.854
3.16,187,119,68,5.135,19.224,25.899,45.123,45.333,20.853,23.158,4.234,18.866,0.058,45.405,11.505,2.516
6.173,42,31,11,7.032,29.013,35.203,64.216,64.363,26.421,36.792,11.857,24.923,0.012,63.95,13.558,2.686
